"No","Ch1","Ch2","Ch3","Ch4","Choice"
20,0.412528269126856,0.42743656224354,0.0432785142037143,0.11675665442589,2
26,0.11615960789588,0.228380937341643,0.459178165524659,0.196281289237819,4
33,0.250667522669454,0.141791468075578,0.240820571918269,0.366720437336699,4
39,0.069594604544037,0.16236126144151,0.358755390220211,0.409288743794242,2
42,0.477604161861766,0.0678952846940442,0.11994563019078,0.33455492325341,3
45,0.0664250536102612,0.15540833008014,0.224069693516542,0.554096922793057,3
47,0.319526528865087,0.284023114633163,0.0746506255135392,0.321799730988211,1
56,0.135121059668636,0.201911400918608,0.0699809148821926,0.592986624530564,2
59,0.308520345634855,0.545161432951967,0.0460855049911281,0.100232716422049,4
60,0.0896245428222018,0.326845205849765,0.25895643921504,0.324573812112993,2
65,0.208928368962351,0.119242893543618,0.449946364940956,0.221882372553075,3
67,0.63455444739833,0.0802637592878675,0.0910942040276801,0.194087589286123,1
71,0.204392659826661,0.541841314731186,0.127741844903108,0.126024180539044,2
73,0.0651511034529688,0.324366884917512,0.375006141299108,0.235475870330412,2
74,0.192436897392127,0.518325749255351,0.0551301821651124,0.234107171187409,2
75,0.0482502589543219,0.181981043633931,0.588082352640262,0.181686344771485,3
78,0.0936061807674411,0.0998339672689108,0.344097126937847,0.462462725025801,1
84,0.0405424871281192,0.362150572628291,0.109374970193025,0.487931970050564,2
86,0.126923701964329,0.0519497077421914,0.0608715195200321,0.760255070773447,1
95,0.285676924978371,0.0328537318870235,0.0515934920197387,0.629875851114867,4
100,0.0584131277119301,0.24363839905098,0.33256104112264,0.365387432114449,3
102,0.0875495213825264,0.100632439413589,0.242839416503512,0.568978622700373,2
110,0.0659901302842884,0.0463375048880481,0.542636595104585,0.345035769723079,3
111,0.156246329188584,0.195050035652577,0.0520019048736291,0.59670173028521,1
116,0.107071811982695,0.347432070048959,0.0600688441955807,0.485427273772765,1
117,0.329313865102751,0.0929389987413345,0.191165070545014,0.386582065610901,3
119,0.49802617184688,0.177855541511143,0.0694389696278873,0.25467931701409,1
124,0.169767242502604,0.224493915343749,0.394217757141289,0.211521085012358,3
132,0.117918784408409,0.264144443879953,0.0691603405591624,0.548776431152476,2
140,0.109730413354156,0.0785626825179526,0.602327781049297,0.209379123078594,4
145,0.388548152908317,0.211221098657581,0.211522556393441,0.188708192040662,4
150,0.110317109759827,0.226750355171297,0.587878068729395,0.0750544663394804,2
152,0.080122155095455,0.268232614724969,0.489640630036093,0.162004600143483,1
154,0.0727158512318348,0.144115312722035,0.433250955219794,0.349917880826337,3
156,0.0290002691954498,0.437790193873756,0.286680168207331,0.246529368723464,2
159,0.266775573343207,0.149072100874577,0.217529146908346,0.36662317887387,1
168,0.115990411770958,0.177085445202232,0.219166499520723,0.487757643506088,3
176,0.23462516173225,0.426780474649529,0.163131288514958,0.175463075103263,4
185,0.239427488640498,0.35950407971723,0.12715451390417,0.273913917738102,4
205,0.27968154362723,0.0747975575042533,0.385115486699645,0.260405412168872,1
208,0.0616581732062705,0.403318481175672,0.164382782527331,0.370640563090727,1
209,0.424470661767113,0.0247738351959358,0.32941660822192,0.221338894815031,1
210,0.13617903374228,0.150711241213179,0.163797625773719,0.549312099270822,1
213,0.0420322997899428,0.232289155095889,0.305078152480795,0.420600392633374,3
215,0.338727396712592,0.0490268231544433,0.0651579274683369,0.547087852664628,1
218,0.098532790128348,0.033124252023099,0.0579738097414111,0.810369148107142,1
221,0.202557626979775,0.0531592405078597,0.311736739671037,0.432546392841328,3
234,0.432495696979052,0.0656519205072073,0.189053319785222,0.312799062728519,4
237,0.114660801889361,0.209082674497602,0.0712758224501481,0.604980701162889,4
238,0.0850774523197384,0.10315344917656,0.518561318082758,0.293207780420944,4
