"No","Ch1","Ch2","Ch3","Ch4"
21566,0.286,0.176,0.298,0.24
21567,0.15,0.314,0.312,0.224
21568,0.242,0.432,0.142,0.184
21569,0.416,0.16,0.194,0.23
21570,0.162,0.322,0.392,0.124
21571,0.13,0.514,0.196,0.16
21572,0.228,0.206,0.352,0.214
21573,0.218,0.226,0.22,0.336
21574,0.188,0.334,0.324,0.154
21575,0.128,0.132,0.53,0.21
21576,0.236,0.248,0.268,0.248
21577,0.28,0.186,0.394,0.14
21578,0.332,0.258,0.218,0.192
21579,0.176,0.246,0.198,0.38
21580,0.138,0.418,0.182,0.262
21581,0.342,0.198,0.168,0.292
21582,0.178,0.22,0.35,0.252
21583,0.224,0.184,0.24,0.352
21584,0.21,0.302,0.198,0.29
21585,0.272,0.238,0.198,0.292
21586,0.218,0.374,0.194,0.214
21587,0.148,0.432,0.164,0.256
21588,0.132,0.142,0.454,0.272
21589,0.182,0.172,0.38,0.266
21590,0.128,0.12,0.456,0.296
21591,0.114,0.198,0.356,0.332
21592,0.192,0.3,0.168,0.34
21593,0.39,0.264,0.148,0.198
21594,0.196,0.182,0.186,0.436
21595,0.234,0.238,0.148,0.38
21596,0.18,0.514,0.104,0.202
21597,0.27,0.294,0.148,0.288
21598,0.126,0.346,0.29,0.238
21599,0.22,0.364,0.256,0.16
21600,0.168,0.244,0.134,0.454
21601,0.172,0.238,0.214,0.376
21602,0.114,0.342,0.298,0.246
21603,0.312,0.164,0.178,0.346
21604,0.136,0.19,0.386,0.288
21605,0.164,0.11,0.462,0.264
21606,0.252,0.124,0.34,0.284
21607,0.424,0.192,0.122,0.262
21608,0.224,0.394,0.116,0.266
21609,0.114,0.118,0.412,0.356
21610,0.28,0.344,0.086,0.29
21611,0.106,0.154,0.424,0.316
21612,0.48,0.144,0.236,0.14
21613,0.122,0.244,0.292,0.342
21614,0.11,0.418,0.248,0.224
21615,0.296,0.33,0.09,0.284
21616,0.198,0.108,0.496,0.198
21617,0.226,0.284,0.192,0.298
21618,0.244,0.144,0.26,0.352
21619,0.21,0.206,0.146,0.438
21620,0.114,0.522,0.12,0.244
21621,0.184,0.38,0.144,0.292
21622,0.132,0.26,0.21,0.398
21623,0.31,0.34,0.218,0.132
21624,0.336,0.324,0.162,0.178
21625,0.162,0.222,0.372,0.244
21626,0.368,0.242,0.162,0.228
21627,0.184,0.294,0.344,0.178
21628,0.27,0.422,0.162,0.146
21629,0.4,0.232,0.18,0.188
21630,0.188,0.288,0.25,0.274
21631,0.256,0.19,0.428,0.126
21632,0.188,0.254,0.334,0.224
21633,0.218,0.332,0.248,0.202
21634,0.198,0.484,0.18,0.138
21635,0.146,0.516,0.232,0.106
21636,0.354,0.292,0.16,0.194
21637,0.332,0.328,0.156,0.184
21638,0.21,0.334,0.318,0.138
21639,0.23,0.432,0.18,0.158
21640,0.338,0.306,0.202,0.154
21641,0.244,0.286,0.324,0.146
21642,0.432,0.178,0.218,0.172
21643,0.134,0.2,0.452,0.214
21644,0.28,0.228,0.23,0.262
21645,0.172,0.474,0.148,0.206
21646,0.188,0.244,0.408,0.16
21647,0.198,0.202,0.368,0.232
21648,0.308,0.17,0.346,0.176
21649,0.418,0.158,0.27,0.154
21650,0.152,0.256,0.344,0.248
21651,0.414,0.168,0.182,0.236
21652,0.186,0.204,0.208,0.402
21653,0.47,0.184,0.17,0.176
21654,0.5,0.176,0.172,0.152
21655,0.352,0.128,0.35,0.17
21656,0.402,0.144,0.168,0.286
21657,0.438,0.168,0.186,0.208
21658,0.396,0.192,0.166,0.246
21659,0.448,0.128,0.222,0.202
21660,0.216,0.166,0.208,0.41
21661,0.214,0.244,0.206,0.336
21662,0.138,0.45,0.13,0.282
21663,0.172,0.202,0.472,0.154
21664,0.134,0.298,0.22,0.348
21665,0.296,0.238,0.204,0.262
21666,0.164,0.314,0.172,0.35
21667,0.104,0.32,0.27,0.306
21668,0.308,0.252,0.136,0.304
21669,0.204,0.258,0.178,0.36
21670,0.122,0.466,0.114,0.298
21671,0.096,0.356,0.414,0.134
21672,0.098,0.26,0.314,0.328
21673,0.286,0.3,0.128,0.286
21674,0.35,0.144,0.246,0.26
21675,0.284,0.19,0.136,0.39
21676,0.142,0.51,0.142,0.206
21677,0.546,0.12,0.188,0.146
21678,0.136,0.312,0.4,0.152
21679,0.178,0.442,0.092,0.288
21680,0.288,0.16,0.39,0.162
21681,0.284,0.178,0.198,0.34
21682,0.33,0.288,0.118,0.264
21683,0.31,0.186,0.252,0.252
21684,0.302,0.188,0.184,0.326
21685,0.194,0.28,0.164,0.362
21686,0.158,0.362,0.242,0.238
21687,0.166,0.164,0.38,0.29
21688,0.224,0.208,0.21,0.358
21689,0.222,0.438,0.124,0.216
21690,0.432,0.248,0.136,0.184
21691,0.192,0.474,0.128,0.206
21692,0.104,0.314,0.394,0.188
21693,0.144,0.484,0.106,0.266
21694,0.176,0.254,0.178,0.392
21695,0.29,0.32,0.232,0.158
21696,0.4,0.246,0.112,0.242
21697,0.324,0.272,0.224,0.18
21698,0.26,0.13,0.448,0.162
21699,0.302,0.374,0.124,0.2
21700,0.302,0.238,0.136,0.324
21701,0.492,0.122,0.13,0.256
21702,0.15,0.26,0.126,0.464
21703,0.148,0.222,0.17,0.46
21704,0.136,0.234,0.344,0.286
