"No","Ch1","Ch2","Ch3","Ch4"
21566,0.206,0.158,0.262,0.374
21567,0.142,0.284,0.352,0.222
21568,0.2,0.466,0.12,0.214
21569,0.466,0.164,0.162,0.208
21570,0.102,0.308,0.492,0.098
21571,0.1,0.558,0.152,0.19
21572,0.164,0.16,0.438,0.238
21573,0.178,0.178,0.206,0.438
21574,0.168,0.316,0.294,0.222
21575,0.112,0.114,0.57,0.204
21576,0.24,0.2,0.272,0.288
21577,0.306,0.196,0.394,0.104
21578,0.372,0.252,0.166,0.21
21579,0.128,0.214,0.21,0.448
21580,0.104,0.454,0.17,0.272
21581,0.396,0.144,0.166,0.294
21582,0.128,0.206,0.354,0.312
21583,0.154,0.186,0.228,0.432
21584,0.216,0.312,0.16,0.312
21585,0.336,0.214,0.156,0.294
21586,0.182,0.452,0.164,0.202
21587,0.12,0.502,0.158,0.22
21588,0.158,0.156,0.42,0.266
21589,0.154,0.136,0.454,0.256
21590,0.15,0.138,0.43,0.282
21591,0.102,0.178,0.396,0.324
21592,0.142,0.298,0.132,0.428
21593,0.524,0.188,0.1,0.188
21594,0.15,0.154,0.228,0.468
21595,0.286,0.212,0.108,0.394
21596,0.138,0.614,0.09,0.158
21597,0.3,0.248,0.128,0.324
21598,0.116,0.374,0.294,0.216
21599,0.198,0.338,0.264,0.2
21600,0.122,0.242,0.11,0.526
21601,0.118,0.208,0.2,0.474
21602,0.108,0.42,0.268,0.204
21603,0.354,0.128,0.154,0.364
21604,0.126,0.17,0.402,0.302
21605,0.122,0.1,0.536,0.242
21606,0.254,0.11,0.412,0.224
21607,0.52,0.168,0.098,0.214
21608,0.214,0.456,0.094,0.236
21609,0.068,0.092,0.502,0.338
21610,0.306,0.346,0.09,0.258
21611,0.074,0.132,0.514,0.28
21612,0.52,0.144,0.244,0.092
21613,0.058,0.264,0.332,0.346
21614,0.086,0.38,0.264,0.27
21615,0.298,0.336,0.068,0.298
21616,0.174,0.062,0.618,0.146
21617,0.218,0.328,0.188,0.266
21618,0.248,0.114,0.234,0.404
21619,0.19,0.16,0.11,0.54
21620,0.09,0.648,0.058,0.204
21621,0.124,0.438,0.13,0.308
21622,0.126,0.286,0.146,0.442
21623,0.288,0.382,0.174,0.156
21624,0.342,0.326,0.16,0.172
21625,0.154,0.18,0.416,0.25
21626,0.442,0.232,0.148,0.178
21627,0.182,0.294,0.33,0.194
21628,0.308,0.398,0.162,0.132
21629,0.394,0.184,0.18,0.242
21630,0.178,0.192,0.252,0.378
21631,0.22,0.16,0.502,0.118
21632,0.168,0.23,0.414,0.188
21633,0.18,0.33,0.23,0.26
21634,0.26,0.514,0.142,0.084
21635,0.162,0.564,0.178,0.096
21636,0.4,0.266,0.148,0.186
21637,0.38,0.354,0.152,0.114
21638,0.202,0.404,0.302,0.092
21639,0.24,0.418,0.19,0.152
21640,0.372,0.292,0.206,0.13
21641,0.268,0.256,0.326,0.15
21642,0.468,0.146,0.236,0.15
21643,0.11,0.19,0.51,0.19
21644,0.298,0.226,0.228,0.248
21645,0.2,0.508,0.15,0.142
21646,0.14,0.224,0.388,0.248
21647,0.164,0.196,0.416,0.224
21648,0.31,0.166,0.332,0.192
21649,0.486,0.18,0.224,0.11
21650,0.162,0.25,0.348,0.24
21651,0.42,0.152,0.194,0.234
21652,0.178,0.118,0.234,0.47
21653,0.516,0.148,0.124,0.212
21654,0.63,0.09,0.118,0.162
21655,0.366,0.134,0.374,0.126
21656,0.378,0.118,0.256,0.248
21657,0.512,0.144,0.186,0.158
21658,0.42,0.172,0.174,0.234
21659,0.496,0.112,0.192,0.2
21660,0.158,0.142,0.228,0.472
21661,0.236,0.196,0.212,0.356
21662,0.106,0.544,0.076,0.274
21663,0.102,0.144,0.626,0.128
21664,0.112,0.294,0.22,0.374
21665,0.312,0.256,0.17,0.262
21666,0.176,0.378,0.142,0.304
21667,0.074,0.316,0.28,0.33
21668,0.334,0.222,0.146,0.298
21669,0.168,0.3,0.086,0.446
21670,0.124,0.452,0.094,0.33
21671,0.08,0.362,0.458,0.1
21672,0.076,0.214,0.384,0.326
21673,0.296,0.296,0.066,0.342
21674,0.396,0.136,0.206,0.262
21675,0.362,0.142,0.106,0.39
21676,0.15,0.598,0.11,0.142
21677,0.684,0.06,0.112,0.144
21678,0.106,0.336,0.428,0.13
21679,0.16,0.448,0.056,0.336
