"Case","No","Task","CC1","GN1","NS1","BU1","FA1","LD1","BZ1","FC1","FP1","RP1","PP1","KA1","SC1","TS1","NV1","MA1","LB1","AF1","HU1","Price1","CC2","GN2","NS2","BU2","FA2","LD2","BZ2","FC2","FP2","RP2","PP2","KA2","SC2","TS2","NV2","MA2","LB2","AF2","HU2","Price2","CC3","GN3","NS3","BU3","FA3","LD3","BZ3","FC3","FP3","RP3","PP3","KA3","SC3","TS3","NV3","MA3","LB3","AF3","HU3","Price3","CC4","GN4","NS4","BU4","FA4","LD4","BZ4","FC4","FP4","RP4","PP4","KA4","SC4","TS4","NV4","MA4","LB4","AF4","HU4","Price4","segment","segmentind","year","yearind","miles","milesind","milesa","night","nightind","nighta","ppark","pparkind","gender","genderind","age","ageind","agea","educ","educind","region","regionind","Urb","Urbind","income","incomeind","incomea","Choice"
2,20,1,2,0,1,0,1,0,0,0,0,0,1,0,3,1,0,2,2,3,0,1,3,0,4,0,1,0,0,0,0,0,2,0,4,2,0,1,2,1,0,2,1,0,1,0,1,0,0,0,0,0,2,0,4,2,0,2,4,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Midsize Utility",4,2001,2,"351 To 400 Miles",8,400,"51% To 60%",6,55,"Weekly",4,"Male",2,"30 To 39",2,33,"College Graduate (4 Years)",1,"W",5,"Urban/City",3,"$70,000 to $79,999",6,75000,2
2,26,7,0,1,0,0,1,1,0,0,4,0,0,0,0,1,0,3,2,2,1,7,0,2,0,0,2,3,0,0,3,0,0,0,0,1,0,1,4,2,2,4,0,2,0,0,2,1,0,0,4,0,0,0,0,2,0,4,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Midsize Utility",4,2001,2,"351 To 400 Miles",8,400,"51% To 60%",6,55,"Weekly",4,"Male",2,"30 To 39",2,33,"College Graduate (4 Years)",1,"W",5,"Urban/City",3,"$70,000 to $79,999",6,75000,4
2,33,14,0,0,0,0,0,1,0,1,4,0,3,0,1,2,1,0,0,2,1,6,0,0,0,0,0,3,0,2,2,0,2,0,4,1,1,0,0,3,2,8,0,0,0,0,0,3,0,1,4,0,1,0,4,3,1,0,0,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Midsize Utility",4,2001,2,"351 To 400 Miles",8,400,"51% To 60%",6,55,"Weekly",4,"Male",2,"30 To 39",2,33,"College Graduate (4 Years)",1,"W",5,"Urban/City",3,"$70,000 to $79,999",6,75000,4
3,39,1,0,0,5,0,2,2,2,2,0,0,3,1,3,2,0,0,0,0,0,9,0,0,1,0,1,3,2,1,0,0,1,2,4,2,0,0,0,0,0,7,0,0,3,0,1,1,3,1,0,0,1,1,2,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Small Car",6,2002,3,"151 To 200 Miles",4,160,"Under 10%",1,2,"Never",3,"Female",1,"40 To 49",3,45,"Some College (1-3 Years)",5,"SE",3,"Rural/Country",1,"$30,000 to $39,999",2,35000,2
3,42,4,0,0,3,0,2,0,0,0,0,0,0,1,0,2,2,2,3,1,1,2,0,0,3,0,1,0,0,0,0,0,0,1,0,3,1,1,4,2,2,10,0,0,1,0,1,0,0,0,0,0,0,1,0,1,2,2,1,3,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Small Car",6,2002,3,"151 To 200 Miles",4,160,"Under 10%",1,2,"Never",3,"Female",1,"40 To 49",3,45,"Some College (1-3 Years)",5,"SE",3,"Rural/Country",1,"$30,000 to $39,999",2,35000,3
3,45,7,0,0,0,0,0,2,3,0,0,0,1,0,3,1,2,2,1,0,2,11,0,0,0,0,0,3,2,0,0,0,2,0,2,3,1,2,4,0,1,8,0,0,0,0,0,3,2,0,0,0,1,0,4,1,2,3,3,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Small Car",6,2002,3,"151 To 200 Miles",4,160,"Under 10%",1,2,"Never",3,"Female",1,"40 To 49",3,45,"Some College (1-3 Years)",5,"SE",3,"Rural/Country",1,"$30,000 to $39,999",2,35000,3
3,47,9,1,1,0,0,0,0,3,2,0,1,2,2,0,0,0,0,0,2,2,2,2,2,0,0,0,0,3,2,0,2,3,2,0,0,0,0,0,3,2,2,1,2,0,0,0,0,3,1,0,2,2,2,0,0,0,0,0,1,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Small Car",6,2002,3,"151 To 200 Miles",4,160,"Under 10%",1,2,"Never",3,"Female",1,"40 To 49",3,45,"Some College (1-3 Years)",5,"SE",3,"Rural/Country",1,"$30,000 to $39,999",2,35000,1
3,56,18,2,0,0,1,0,2,3,0,2,0,3,2,0,0,0,2,0,2,0,9,3,0,0,1,0,1,1,0,1,0,3,1,0,0,0,2,0,3,0,9,2,0,0,5,0,1,1,0,2,0,1,1,0,0,0,4,0,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Small Car",6,2002,3,"151 To 200 Miles",4,160,"Under 10%",1,2,"Never",3,"Female",1,"40 To 49",3,45,"Some College (1-3 Years)",5,"SE",3,"Rural/Country",1,"$30,000 to $39,999",2,35000,2
4,59,2,0,0,3,6,0,3,0,1,0,0,0,1,4,1,0,0,4,1,0,2,0,0,1,1,0,2,0,1,0,0,0,2,2,2,0,0,1,1,0,2,0,0,4,1,0,1,0,1,0,0,0,1,2,2,0,0,3,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Small Car",6,2000,1,"Over 400 Miles",9,750,"Under 10%",1,10,"Weekly",4,"Male",2,"40 To 49",3,40,"College Graduate (4 Years)",1,"SE",3,"Urban/City",3,"$160,000 to $169,999",15,165000,4
4,60,3,1,2,0,4,1,2,0,0,0,1,0,1,0,0,0,1,3,0,0,12,3,2,0,1,2,1,0,0,0,1,0,1,0,0,0,1,1,0,0,9,3,2,0,2,1,1,0,0,0,2,0,1,0,0,0,2,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Small Car",6,2000,1,"Over 400 Miles",9,750,"Under 10%",1,10,"Weekly",4,"Male",2,"40 To 49",3,40,"College Graduate (4 Years)",1,"SE",3,"Urban/City",3,"$160,000 to $169,999",15,165000,2
