"Choice","Price3","Price2","Price1","agea","incomea","milesa","nighta","year","yearind","incomebins","miles","milesind","nightind","night","pparkind","ppark","segment","segmentind","region","regionind","BU3"
2,2,2,2,53,44500,80,30,2000,1,"4","51 To 100 Miles",2,3,"21% To 30%",1,"Daily","Midsize Car",2,"NE",2,5
1,12,7,8,53,44500,80,30,2000,1,"4","51 To 100 Miles",2,3,"21% To 30%",1,"Daily","Midsize Car",2,"NE",2,0
2,7,6,4,53,44500,80,30,2000,1,"4","51 To 100 Miles",2,3,"21% To 30%",1,"Daily","Midsize Car",2,"NE",2,0
2,10,7,3,53,44500,80,30,2000,1,"4","51 To 100 Miles",2,3,"21% To 30%",1,"Daily","Midsize Car",2,"NE",2,5
2,2,4,1,53,44500,80,30,2000,1,"4","51 To 100 Miles",2,3,"21% To 30%",1,"Daily","Midsize Car",2,"NE",2,0
2,11,7,1,53,44500,80,30,2000,1,"4","51 To 100 Miles",2,3,"21% To 30%",1,"Daily","Midsize Car",2,"NE",2,5
2,12,2,3,53,44500,80,30,2000,1,"4","51 To 100 Miles",2,3,"21% To 30%",1,"Daily","Midsize Car",2,"NE",2,0
2,11,11,4,53,44500,80,30,2000,1,"4","51 To 100 Miles",2,3,"21% To 30%",1,"Daily","Midsize Car",2,"NE",2,0
2,11,4,11,53,44500,80,30,2000,1,"4","51 To 100 Miles",2,3,"21% To 30%",1,"Daily","Midsize Car",2,"NE",2,4
2,8,5,6,53,44500,80,30,2000,1,"4","51 To 100 Miles",2,3,"21% To 30%",1,"Daily","Midsize Car",2,"NE",2,0
2,6,6,7,53,44500,80,30,2000,1,"4","51 To 100 Miles",2,3,"21% To 30%",1,"Daily","Midsize Car",2,"NE",2,2
2,1,8,8,53,44500,80,30,2000,1,"4","51 To 100 Miles",2,3,"21% To 30%",1,"Daily","Midsize Car",2,"NE",2,6
2,3,9,10,53,44500,80,30,2000,1,"4","51 To 100 Miles",2,3,"21% To 30%",1,"Daily","Midsize Car",2,"NE",2,0
2,10,6,9,53,44500,80,30,2000,1,"4","51 To 100 Miles",2,3,"21% To 30%",1,"Daily","Midsize Car",2,"NE",2,6
2,10,3,6,53,44500,80,30,2000,1,"4","51 To 100 Miles",2,3,"21% To 30%",1,"Daily","Midsize Car",2,"NE",2,0
3,8,10,8,53,44500,80,30,2000,1,"4","51 To 100 Miles",2,3,"21% To 30%",1,"Daily","Midsize Car",2,"NE",2,0
2,11,6,9,53,44500,80,30,2000,1,"4","51 To 100 Miles",2,3,"21% To 30%",1,"Daily","Midsize Car",2,"NE",2,4
2,12,2,7,53,44500,80,30,2000,1,"4","51 To 100 Miles",2,3,"21% To 30%",1,"Daily","Midsize Car",2,"NE",2,2
2,3,2,8,53,44500,80,30,2000,1,"4","51 To 100 Miles",2,3,"21% To 30%",1,"Daily","Midsize Car",2,"NE",2,0
1,9,8,1,33,75000,400,55,2001,2,"7","351 To 400 Miles",8,6,"51% To 60%",4,"Weekly","Midsize Utility",4,"W",5,4
4,5,5,12,33,75000,400,55,2001,2,"7","351 To 400 Miles",8,6,"51% To 60%",4,"Weekly","Midsize Utility",4,"W",5,6
3,3,1,4,33,75000,400,55,2001,2,"7","351 To 400 Miles",8,6,"51% To 60%",4,"Weekly","Midsize Utility",4,"W",5,0
4,8,3,11,33,75000,400,55,2001,2,"7","351 To 400 Miles",8,6,"51% To 60%",4,"Weekly","Midsize Utility",4,"W",5,3
3,2,9,5,33,75000,400,55,2001,2,"7","351 To 400 Miles",8,6,"51% To 60%",4,"Weekly","Midsize Utility",4,"W",5,0
1,2,7,4,33,75000,400,55,2001,2,"7","351 To 400 Miles",8,6,"51% To 60%",4,"Weekly","Midsize Utility",4,"W",5,1
4,3,8,8,33,75000,400,55,2001,2,"7","351 To 400 Miles",8,6,"51% To 60%",4,"Weekly","Midsize Utility",4,"W",5,0
3,7,3,11,33,75000,400,55,2001,2,"7","351 To 400 Miles",8,6,"51% To 60%",4,"Weekly","Midsize Utility",4,"W",5,6
4,10,8,2,33,75000,400,55,2001,2,"7","351 To 400 Miles",8,6,"51% To 60%",4,"Weekly","Midsize Utility",4,"W",5,0
4,4,6,9,33,75000,400,55,2001,2,"7","351 To 400 Miles",8,6,"51% To 60%",4,"Weekly","Midsize Utility",4,"W",5,6
4,11,8,12,33,75000,400,55,2001,2,"7","351 To 400 Miles",8,6,"51% To 60%",4,"Weekly","Midsize Utility",4,"W",5,3
4,6,10,5,33,75000,400,55,2001,2,"7","351 To 400 Miles",8,6,"51% To 60%",4,"Weekly","Midsize Utility",4,"W",5,0
4,10,3,3,33,75000,400,55,2001,2,"7","351 To 400 Miles",8,6,"51% To 60%",4,"Weekly","Midsize Utility",4,"W",5,0
4,10,8,5,33,75000,400,55,2001,2,"7","351 To 400 Miles",8,6,"51% To 60%",4,"Weekly","Midsize Utility",4,"W",5,5
