No,Ch1,Ch2,Ch3,Ch4
14251,1,0,0,0
14252,0,0,0,1
14253,1,0,0,0
14254,0,0,1,0
14255,1,0,0,0
14256,1,0,0,0
14257,0,0,0,1
14258,0,0,1,0
14259,0,0,1,0
14260,0,0,0,1
14261,0,0,0,1
14262,0,0,0,1
14263,0,0,0,1
14264,0,1,0,0
14265,0,0,0,1
14266,0,0,0,1
14267,0,0,1,0
14268,1,0,0,0
14269,0,0,0,1
14270,0,0,0,1
14271,0,0,0,1
14272,0,1,0,0
14273,0,0,1,0
14274,0,0,0,1
14275,1,0,0,0
14276,0,0,1,0
14277,0,0,0,1
14278,0,1,0,0
14279,0,0,0,1
14280,0,0,0,1
14281,0,1,0,0
14282,0,1,0,0
14283,0,1,0,0
14284,1,0,0,0
14285,0,0,1,0
14286,0,1,0,0
14287,0,0,0,1
14288,1,0,0,0
14289,0,1,0,0
14290,0,0,0,1
14291,1,0,0,0
14292,0,0,0,1
14293,0,0,1,0
14294,0,0,0,1
14295,0,0,1,0
14296,0,0,1,0
14297,0,0,0,1
14298,0,0,1,0
14299,0,0,1,0
14300,0,0,1,0
14301,0,0,0,1
14302,0,1,0,0
14303,0,0,0,1
14304,0,0,1,0
14305,0,0,0,1
14306,0,0,1,0
14307,1,0,0,0
14308,0,0,1,0
14309,1,0,0,0
14310,1,0,0,0
14311,1,0,0,0
14312,0,1,0,0
14313,0,1,0,0
14314,1,0,0,0
14315,0,1,0,0
14316,1,0,0,0
14317,1,0,0,0
14318,0,1,0,0
14319,0,0,1,0
14320,0,1,0,0
14321,0,1,0,0
14322,0,1,0,0
14323,0,1,0,0
14324,0,1,0,0
14325,1,0,0,0
14326,0,0,0,1
14327,0,1,0,0
14328,0,1,0,0
14329,1,0,0,0
14330,1,0,0,0
14331,1,0,0,0
14332,0,1,0,0
14333,1,0,0,0
14334,1,0,0,0
14335,0,1,0,0
14336,0,0,1,0
14337,0,1,0,0
14338,0,1,0,0
14339,1,0,0,0
14340,1,0,0,0
14341,0,0,1,0
14342,0,1,0,0
14343,0,0,1,0
14344,0,1,0,0
14345,0,1,0,0
14346,1,0,0,0
14347,0,1,0,0
14348,0,1,0,0
14349,0,0,1,0
14350,0,1,0,0
14351,1,0,0,0
14352,1,0,0,0
14353,0,1,0,0
14354,0,0,1,0
14355,0,1,0,0
14356,0,1,0,0
14357,0,0,1,0
14358,1,0,0,0
14359,0,0,1,0
14360,1,0,0,0
14361,1,0,0,0
14362,1,0,0,0
14363,0,0,1,0
14364,1,0,0,0
14365,0,0,0,1
14366,0,1,0,0
14367,1,0,0,0
14368,0,0,1,0
14369,0,1,0,0
14370,0,0,0,1
14371,0,0,0,1
14372,0,0,1,0
14373,0,0,0,1
14374,0,0,0,1
14375,0,0,0,1
14376,0,0,1,0
14377,0,0,0,1
14378,0,0,0,1
14379,0,0,0,1
14380,0,0,0,1
14381,0,0,0,1
14382,0,1,0,0
14383,0,0,0,1
14384,0,0,1,0
14385,0,0,0,1
14386,0,0,0,1
14387,0,1,0,0
14388,1,0,0,0
14389,0,0,0,1
14390,0,0,0,1
14391,0,0,1,0
14392,0,0,0,1
14393,0,0,0,1
14394,0,0,0,1
14395,0,0,1,0
14396,0,0,1,0
14397,0,0,0,1
14398,0,0,1,0
14399,0,0,0,1
14400,0,0,0,1
14401,0,1,0,0
14402,0,1,0,0
14403,1,0,0,0
14404,0,1,0,0
14405,0,1,0,0
14406,0,1,0,0
14407,0,1,0,0
14408,0,1,0,0
14409,0,1,0,0
14410,0,1,0,0
14411,0,0,1,0
14412,0,1,0,0
14413,0,0,1,0
14414,0,1,0,0
14415,0,1,0,0
14416,0,0,1,0
14417,0,1,0,0
14418,0,0,1,0
14419,0,0,1,0
14420,0,1,0,0
14421,0,1,0,0
14422,0,0,1,0
14423,0,0,1,0
14424,1,0,0,0
14425,1,0,0,0
14426,1,0,0,0
14427,0,0,0,1
14428,0,0,0,1
14429,0,0,0,1
14430,0,1,0,0
14431,0,0,0,1
14432,0,0,0,1
14433,0,0,0,1
14434,0,0,0,1
14435,0,0,1,0
14436,0,0,0,1
14437,0,0,0,1
14438,0,0,0,1
14439,0,0,0,1
14440,0,0,0,1
14441,1,0,0,0
14442,0,0,0,1
14443,0,0,1,0
14444,0,0,0,1
14445,0,0,1,0
14446,0,0,0,1
14447,0,1,0,0
14448,0,0,1,0
14449,0,0,0,1
14450,0,0,0,1
14451,1,0,0,0
14452,0,0,0,1
14453,1,0,0,0
14454,0,0,0,1
14455,0,0,1,0
14456,0,0,0,1
14457,1,0,0,0
14458,0,0,0,1
14459,0,1,0,0
14460,0,0,1,0
14461,1,0,0,0
14462,1,0,0,0
14463,1,0,0,0
14464,1,0,0,0
14465,1,0,0,0
14466,0,0,1,0
14467,1,0,0,0
14468,0,1,0,0
14469,0,0,1,0
14470,1,0,0,0
14471,0,0,1,0
14472,0,1,0,0
14473,1,0,0,0
14474,0,1,0,0
14475,1,0,0,0
14476,1,0,0,0
14477,1,0,0,0
14478,0,1,0,0
14479,0,1,0,0
14480,0,0,1,0
14481,0,0,1,0
14482,1,0,0,0
14483,0,0,0,1
14484,0,0,0,1
14485,0,1,0,0
14486,0,1,0,0
14487,0,1,0,0
14488,1,0,0,0
14489,0,0,1,0
14490,1,0,0,0
14491,1,0,0,0
14492,0,0,1,0
14493,1,0,0,0
14494,1,0,0,0
14495,0,1,0,0
14496,0,0,1,0
14497,0,0,1,0
14498,0,0,1,0
14499,0,0,0,1
14500,0,0,0,1
14501,0,0,1,0
14502,1,0,0,0
14503,1,0,0,0
14504,0,0,1,0
14505,0,0,1,0
14506,1,0,0,0
14507,1,0,0,0
14508,1,0,0,0
14509,1,0,0,0
14510,1,0,0,0
14511,0,0,1,0
14512,0,0,1,0
14513,0,1,0,0
14514,1,0,0,0
14515,0,1,0,0
14516,1,0,0,0
14517,1,0,0,0
14518,0,0,1,0
14519,0,1,0,0
14520,1,0,0,0
14521,0,0,1,0
14522,0,1,0,0
14523,1,0,0,0
14524,0,1,0,0
14525,0,1,0,0
14526,0,0,1,0
14527,0,0,1,0
14528,0,0,1,0
14529,1,0,0,0
14530,0,1,0,0
14531,1,0,0,0
14532,0,0,1,0
14533,1,0,0,0
14534,0,1,0,0
14535,0,1,0,0
14536,0,1,0,0
14537,0,0,1,0
14538,1,0,0,0
14539,0,1,0,0
14540,0,1,0,0
14541,0,0,1,0
14542,0,0,1,0
14543,0,1,0,0
14544,0,1,0,0
14545,0,1,0,0
14546,0,1,0,0
14547,0,1,0,0
14548,0,1,0,0
14549,0,0,1,0
14550,0,0,1,0
14551,0,0,1,0
14552,1,0,0,0
14553,0,0,1,0
14554,1,0,0,0
14555,0,1,0,0
14556,0,1,0,0
14557,1,0,0,0
14558,0,1,0,0
14559,1,0,0,0
14560,0,1,0,0
14561,0,1,0,0
14562,0,1,0,0
14563,0,1,0,0
14564,0,1,0,0
14565,0,1,0,0
14566,0,0,1,0
14567,0,1,0,0
14568,0,1,0,0
14569,0,1,0,0
14570,1,0,0,0
14571,1,0,0,0
14572,0,0,1,0
14573,0,1,0,0
14574,1,0,0,0
14575,1,0,0,0
14576,0,0,1,0
14577,1,0,0,0
14578,1,0,0,0
14579,0,0,1,0
14580,0,1,0,0
14581,1,0,0,0
14582,0,1,0,0
14583,0,1,0,0
14584,1,0,0,0
14585,1,0,0,0
14586,0,1,0,0
14587,1,0,0,0
14588,0,0,1,0
14589,1,0,0,0
14590,1,0,0,0
