"No","Ch1","Ch2","Ch3","Ch4","Choice"
1,0.008,0.9785,0.0085,0.005,2
2,0.9915,0.0035,0.002,0.003,1
3,0.003,0.9925,5e-04,0.004,2
4,0.002,0.9885,0.0045,0.005,2
5,0.005,0.986,0.007,0.002,2
6,0.0085,0.983,0.006,0.0025,2
7,0.001,0.9955,0,0.0035,2
8,0.006,0.988,0.0035,0.0025,2
9,0.002,0.992,0.0035,0.0025,2
10,0.0035,0.988,0.005,0.0035,2
11,0.0035,0.993,0.0025,0.001,2
12,0.003,0.9865,0.006,0.0045,2
13,0.0045,0.9825,0.006,0.007,2
14,0.0025,0.989,0.004,0.0045,2
15,0.001,0.997,0.001,0.001,2
16,0.0045,0.004,0.989,0.0025,3
17,0.0015,0.9925,0.0025,0.0035,2
18,0.0015,0.9965,0.001,0.001,2
19,5e-04,0.997,5e-04,0.002,2
20,0.0175,0.9615,0.0115,0.0095,2
21,0.99,0.0015,0.0045,0.004,1
22,0.0025,0.004,0.0045,0.989,4
23,0.007,0.0055,0.9805,0.007,3
24,0.0015,0.005,0.005,0.9885,4
25,0.0055,0.004,0.9855,0.005,3
26,0.013,0.0075,0.011,0.9685,4
27,0.983,0.006,0.0055,0.0055,1
28,0.0045,0.0015,0.006,0.988,4
29,0.004,0.004,0.9865,0.0055,3
30,0.0045,0.0055,0.006,0.984,4
31,0.004,0.0025,0.0045,0.989,4
32,0.001,0.0025,0.002,0.9945,4
33,0.0085,0.0035,0.0065,0.9815,4
34,0.003,5e-04,0.0035,0.993,4
35,0.0055,0.005,0.0055,0.984,4
36,0.0055,0.004,0.002,0.9885,4
37,0.986,0.0025,0.005,0.0065,1
38,0.003,0.004,0.008,0.985,4
39,0.0135,0.9595,0.0175,0.0095,2
40,0.0075,0.985,0.0035,0.004,2
41,0.988,0.0035,0.0035,0.005,1
42,0.01,0.0115,0.97,0.0085,3
43,0.99,0.005,0.002,0.003,1
44,0.0025,0.0075,0.985,0.005,3
45,0.011,0.0065,0.976,0.0065,3
46,0.0065,0.978,0.01,0.0055,2
47,0.9575,0.0135,0.016,0.013,1
48,0.9755,0.0095,0.008,0.007,1
49,0.004,0.9885,0.005,0.0025,2
50,0.0025,0.9945,0.001,0.002,2
51,0.003,0.0015,0.993,0.0025,3
52,0.004,0.9935,5e-04,0.002,2
53,0.002,0.002,0.0035,0.9925,4
