"No","Ch1","Ch2","Ch3","Ch4","Choice"
20,0.304847576211894,0.323338330834583,0.202898550724638,0.168915542228886,2
26,0.174912543728136,0.191404297851074,0.369815092453773,0.263868065967017,4
33,0.268865567216392,0.12143928035982,0.186406796601699,0.423288355822089,4
39,0.160419790104948,0.16591704147926,0.405797101449275,0.267866066966517,2
42,0.397301349325337,0.102948525737131,0.282858570714643,0.216891554222889,3
45,0.164917541229385,0.191404297851074,0.403798100949525,0.239880059970015,3
47,0.24687656171914,0.254372813593203,0.299850074962519,0.198900549725137,1
56,0.210394802598701,0.279860069965017,0.110444777611194,0.399300349825087,2
59,0.267866066966517,0.384807596201899,0.142428785607196,0.204897551224388,4
60,0.16791604197901,0.197401299350325,0.262868565717141,0.371814092953523,2
65,0.15992003998001,0.138430784607696,0.421289355322339,0.280359820089955,3
67,0.401799100449775,0.16791604197901,0.203898050974513,0.226386806596702,1
71,0.192903548225887,0.427286356821589,0.153423288355822,0.226386806596702,2
73,0.142928535732134,0.229385307346327,0.290354822588706,0.337331334332834,2
74,0.205897051474263,0.322838580709645,0.132433783108446,0.338830584707646,2
75,0.112443778110945,0.19240379810095,0.440279860069965,0.254872563718141,3
78,0.131934032983508,0.177411294352824,0.368315842078961,0.322338830584708,1
84,0.126936531734133,0.521239380309845,0.130434782608696,0.221389305347326,2
86,0.254872563718141,0.226386806596702,0.144927536231884,0.373813093453273,1
95,0.330334832583708,0.174412793603198,0.145427286356822,0.349825087456272,4
100,0.138430784607696,0.306846576711644,0.366816591704148,0.187906046976512,3
102,0.150924537731134,0.238380809595202,0.351324337831084,0.259370314842579,2
110,0.176411794102949,0.153423288355822,0.525237381309345,0.144927536231884,3
111,0.242378810594703,0.241379310344828,0.19640179910045,0.31984007996002,1
116,0.294852573713143,0.329335332333833,0.12343828085957,0.252373813093453,1
117,0.252373813093453,0.143928035982009,0.324837581209395,0.278860569715142,3
119,0.547226386806597,0.169415292353823,0.102948525737131,0.180409795102449,1
124,0.142428785607196,0.231884057971014,0.479260369815092,0.146426786606697,3
132,0.15592203898051,0.377811094452774,0.122438780609695,0.343828085957021,2
140,0.164917541229385,0.189905047476262,0.311844077961019,0.333333333333333,4
145,0.278360819590205,0.292353823088456,0.179410294852574,0.249875062468766,4
150,0.142928535732134,0.259370314842579,0.427286356821589,0.170414792603698,2
152,0.130434782608696,0.242378810594703,0.412293853073463,0.214892553723138,1
154,0.159420289855072,0.171914042978511,0.394302848575712,0.274362818590705,3
156,0.0794602698650675,0.533233383308346,0.222388805597201,0.164917541229385,2
159,0.339830084957521,0.184907546226887,0.1944027986007,0.280859570214893,1
168,0.16191904047976,0.291854072963518,0.19240379810095,0.353823088455772,3
176,0.28335832083958,0.291354322838581,0.207896051974013,0.217391304347826,4
185,0.269365317341329,0.255372313843078,0.203898050974513,0.271364317841079,4
205,0.395302348825587,0.0969515242378811,0.348325837081459,0.159420289855072,1
208,0.122938530734633,0.469765117441279,0.172413793103448,0.23488255872064,1
209,0.2063968015992,0.12543728135932,0.492253873063468,0.175912043978011,1
210,0.20439780109945,0.219890054972514,0.239380309845077,0.336331834082959,1
213,0.110444777611194,0.288855572213893,0.306846576711644,0.293853073463268,3
215,0.422788605697151,0.162918540729635,0.127936031984008,0.286356821589205,1
218,0.204897551224388,0.15992003998001,0.190404797601199,0.444777611194403,1
221,0.247376311844078,0.101449275362319,0.404297851074463,0.24687656171914,3
234,0.329335332333833,0.0969515242378811,0.247876061969015,0.32583708145927,4
237,0.11944027986007,0.275862068965517,0.113943028485757,0.490754622688656,4
238,0.103948025987006,0.158920539730135,0.461269365317341,0.275862068965517,4
239,0.201399300349825,0.102948525737131,0.471764117941029,0.223888055972014,4
250,0.116441779110445,0.192903548225887,0.466266866566717,0.224387806096952,3
254,0.272363818090955,0.367316341829085,0.100449775112444,0.259870064967516,4
255,0.079960019990005,0.157421289355322,0.117941029485257,0.644677661169415,4
257,0.128935532233883,0.144927536231884,0.380309845077461,0.345827086456772,3
267,0.118940529735132,0.219890054972514,0.490254872563718,0.170914542728636,2
270,0.135932033983008,0.264867566216892,0.136431784107946,0.462768615692154,2
271,0.1984007996002,0.571214392803598,0.116941529235382,0.11344327836082,1
278,0.15792103948026,0.596701649175412,0.101449275362319,0.143928035982009,2
280,0.218390804597701,0.169915042478761,0.106446776611694,0.505247376311844,3
281,0.362818590704648,0.16191904047976,0.095952023988006,0.379310344827586,1
282,0.128435782108946,0.141929035482259,0.28335832083958,0.446276861569215,3
288,0.301349325337331,0.197401299350325,0.259870064967516,0.241379310344828,3
290,0.112443778110945,0.47776111944028,0.168915542228886,0.24087956021989,4
293,0.195902048975512,0.217891054472764,0.260869565217391,0.325337331334333,4
294,0.282858570714643,0.207396301849075,0.127936031984008,0.381809095452274,4
295,0.420789605197401,0.145427286356822,0.113943028485757,0.31984007996002,1
299,0.16591704147926,0.518740629685157,0.170414792603698,0.144927536231884,2
301,0.179410294852574,0.254372813593203,0.410294852573713,0.15592203898051,3
304,0.187906046976512,0.111944027986007,0.237881059470265,0.462268865567216,4
307,0.330834582708646,0.294852573713143,0.2023988005997,0.171914042978511,3
308,0.365317341329335,0.229885057471264,0.0824587706146927,0.322338830584708,2
310,0.189905047476262,0.11944027986007,0.545727136431784,0.144927536231884,1
317,0.489255372313843,0.175912043978011,0.0624687656171914,0.272363818090955,2
318,0.0944527736131934,0.636181909045477,0.0944527736131934,0.174912543728136,2
319,0.0894552723638181,0.353823088455772,0.079960019990005,0.476761619190405,4
324,0.131434282858571,0.371314342828586,0.242378810594703,0.254872563718141,2
329,0.217391304347826,0.12543728135932,0.219390304847576,0.437781109445277,4
336,0.109445277361319,0.183908045977011,0.254372813593203,0.452273863068466,4
337,0.0924537731134433,0.101949025487256,0.483258370814593,0.322338830584708,3
339,0.20439780109945,0.245377311344328,0.28735632183908,0.262868565717141,2
344,0.208895552223888,0.153423288355822,0.368315842078961,0.269365317341329,1
347,0.149925037481259,0.389805097451274,0.190404797601199,0.269865067466267,2
351,0.156921539230385,0.4047976011994,0.214892553723138,0.223388305847076,1
353,0.192903548225887,0.255872063968016,0.305847076461769,0.245377311344328,3
363,0.136431784107946,0.162418790604698,0.184407796101949,0.516741629185407,4
364,0.265367316341829,0.15392303848076,0.417291354322839,0.163418290854573,1
366,0.194902548725637,0.158920539730135,0.484257871064468,0.16191904047976,4
369,0.134932533733133,0.189405297351324,0.429785107446277,0.245877061469265,4
370,0.20439780109945,0.144427786106947,0.132933533233383,0.51824087956022,4
388,0.282358820589705,0.290354822588706,0.116441779110445,0.310844577711144,1
390,0.125937031484258,0.484757621189405,0.149425287356322,0.239880059970015,2
393,0.116441779110445,0.491754122938531,0.146426786606697,0.245377311344328,2
399,0.221889055472264,0.430284857571214,0.135432283858071,0.212393803098451,1
401,0.311344327836082,0.088455772113943,0.303848075962019,0.296351824087956,4
403,0.100449775112444,0.443778110944528,0.0784607696151924,0.377311344327836,4
405,0.0739630184907546,0.289355322338831,0.107946026986507,0.528735632183908,4
409,0.129935032483758,0.383308345827086,0.079960019990005,0.40679660169915,4
419,0.438280859570215,0.197901049475262,0.147426286856572,0.216391804097951,2
425,0.176411794102949,0.289855072463768,0.138430784607696,0.395302348825587,3
426,0.131434282858571,0.438280859570215,0.105447276361819,0.324837581209395,2
427,0.191904047976012,0.468265867066467,0.2063968015992,0.133433283358321,2
429,0.385307346326837,0.172413793103448,0.126936531734133,0.315342328835582,3
430,0.171414292853573,0.188905547226387,0.242378810594703,0.397301349325337,3
432,0.260369815092454,0.20039980009995,0.171414292853573,0.367816091954023,4
438,0.300849575212394,0.156921539230385,0.129435282358821,0.412793603198401,1
439,0.187906046976512,0.102448775612194,0.197401299350325,0.512243878060969,3
443,0.134432783608196,0.259870064967516,0.104447776111944,0.501249375312344,4
448,0.109445277361319,0.0924537731134433,0.483258370814593,0.314842578710645,3
