"No","Ch1","Ch2","Ch3","Ch4","Choice"
20,0.427649059714504,0.378288436172385,0.0331358322991715,0.160926671813939,2
26,0.127556218709302,0.180165278673602,0.363477812224198,0.328800690392899,4
33,0.229985914472401,0.0933585600993244,0.161732494480946,0.514923030947329,4
39,0.0620829318953967,0.176503644644633,0.463080776591473,0.298332646868497,2
42,0.527346217593378,0.0742110445162021,0.155481424465679,0.242961313424741,3
45,0.0741269199214251,0.185429077899631,0.268490679429567,0.471953322749378,3
47,0.349603737719283,0.277310838882868,0.0867817242243609,0.286303699173487,1
56,0.141846580315445,0.272841947049061,0.0993305285910092,0.485980944044485,2
59,0.321211511451925,0.550739807311554,0.0444411789797121,0.0836075022568086,4
60,0.100970365668467,0.330976512380201,0.252181209345938,0.315871912605394,2
65,0.231215158945486,0.0981976142840412,0.456595486137291,0.213991740633182,3
67,0.681278518029071,0.0583364745977957,0.074345668745417,0.186039338627716,1
71,0.21820350695007,0.548231125764786,0.112115902036322,0.121449465248821,2
73,0.0651996125494603,0.290352601133691,0.425588643771714,0.218859142545135,2
74,0.198830727969698,0.50519250482711,0.0509505370382939,0.245026230164899,2
75,0.0391808398602509,0.147602683122297,0.652669195006702,0.16054728201075,3
78,0.0855935329407624,0.103695534248394,0.434844107281574,0.375866825529269,1
84,0.0409828847249563,0.448965770953203,0.137930912022306,0.372120432299535,2
86,0.151836253984389,0.0761153101849801,0.0860381622354869,0.686010273595144,1
95,0.322735199961912,0.0440701559270764,0.0672930229442827,0.565901621166729,4
100,0.0610959362333317,0.313590019679859,0.403536437995631,0.221777606091179,3
102,0.120634660215131,0.150868573800092,0.322568724677844,0.405928041306933,2
110,0.0653314667956399,0.0532354519379212,0.670663802564695,0.210769278701744,3
111,0.220334521867083,0.288175612907025,0.0630855727358399,0.428404292490052,1
116,0.0830653985349445,0.323273025515162,0.0591058674804315,0.534555708469462,1
117,0.297730648020545,0.0736460815073502,0.193876922748824,0.434746347723281,3
119,0.471002400464212,0.173515180951803,0.0640268102964464,0.291455608287538,1
124,0.136243608353423,0.218265372741671,0.395461338605317,0.250029680299589,3
132,0.0924256277085913,0.227355498307497,0.0630796212664863,0.617139252717425,2
140,0.0859856667024163,0.0506438745494719,0.691459933709344,0.171910525038767,4
145,0.382622868927459,0.185973678119551,0.25329899198471,0.17810446096828,4
150,0.0981084362678095,0.206657412542789,0.633511062806771,0.06172308838263,2
152,0.0796463928300943,0.232418149212581,0.539510123060095,0.14842533489723,1
154,0.0615559167195104,0.161317093306833,0.563383472986737,0.213743516986919,3
156,0.0228463529512849,0.486898989940595,0.340382305393813,0.149872351714307,2
159,0.292688920596156,0.177316638908556,0.240730540343736,0.289263900151552,1
168,0.103061827167739,0.196839461930178,0.321066754134494,0.379031956767589,3
176,0.335518762453853,0.32262531795056,0.138466537517693,0.203389382077894,4
185,0.314849476307723,0.258271604621103,0.110842371783174,0.316036547288,4
205,0.302137939501509,0.0822697194216914,0.449963109047766,0.165629232029033,1
208,0.0755948490627877,0.457022771810859,0.184457403752142,0.282924975374212,1
209,0.503741120329119,0.0197334239491327,0.346205685506038,0.13031977021571,1
210,0.168608736014121,0.191191971017704,0.222489479189923,0.417709813778253,1
213,0.0425511055630095,0.25570450884714,0.377375044081434,0.324369341508417,3
215,0.450180479940003,0.0630635460005972,0.0773406110732976,0.409415362986102,1
218,0.119493538093936,0.0411151706417671,0.0919610206230957,0.747430270641201,1
