"No","Ch1","Ch2","Ch3","Ch4","Choice"
20,0.466011150235454,0.41223862780463,0.045250074696062,0.0765001472638536,2
26,0.146077858515587,0.225790989903489,0.48087052238467,0.147260629196254,4
33,0.318562432733715,0.139377066951611,0.260582284472869,0.281478215841805,4
39,0.0499794689171388,0.141188878413093,0.401780837568043,0.407050815101725,2
42,0.461342893677158,0.0564121116274852,0.147418785010299,0.334826209685058,3
45,0.0652979917539199,0.140125718724044,0.22685137086454,0.567724918657496,3
47,0.325745208512286,0.212187870663511,0.0814514156361295,0.380615505188074,1
56,0.122928998440544,0.201126905927978,0.0798854074985696,0.596058688132908,2
59,0.243609892150322,0.606349632339343,0.0431097170127603,0.106930758497575,4
60,0.0829220251329614,0.328154617958788,0.238717285867184,0.350206071041067,2
65,0.193166322495743,0.099097564470057,0.451166215039893,0.256569897994307,3
67,0.628732749504628,0.0648687667131549,0.0801567352410232,0.226241748541194,1
71,0.185617506567652,0.542617424821408,0.115396271467181,0.156368797143759,2
73,0.0547368343054426,0.252315263695888,0.397830603388577,0.295117298610093,2
74,0.170507594749874,0.482003776524917,0.0497285648019609,0.297760063923249,2
75,0.0347624572678056,0.154369834471372,0.615027937033834,0.195839771226989,3
78,0.131871680503652,0.150797555729047,0.441928885348301,0.275401878419,1
84,0.0535103406654886,0.57623060080482,0.111995652947966,0.258263405581725,2
86,0.233731769282038,0.115282593536203,0.0863075713514491,0.56467806583031,1
95,0.451612462735552,0.0618928582972191,0.0677510568118828,0.418743622155346,4
100,0.0470494198185703,0.308739559453944,0.364600702336383,0.279610318391103,3
102,0.108283884568484,0.138759062251791,0.280151435384515,0.472805617795211,2
110,0.0601697696304654,0.0512251137560483,0.644282698554316,0.244322418059171,3
111,0.201338471121907,0.228076503605688,0.0606931688787542,0.509891856393651,1
116,0.118726909052764,0.449126034942928,0.0704467041788399,0.361700351825468,1
117,0.3754904370327,0.0981830415099362,0.247767803184426,0.278558718272938,3
119,0.547564155043532,0.202660365156188,0.0748549433607858,0.174920536439494,1
124,0.165474537109993,0.263406303576167,0.432724999924784,0.138394159389057,3
132,0.144583101614906,0.331194529469811,0.0904348402527167,0.433787528662566,2
140,0.0839873244305335,0.0532558356075409,0.601519085367476,0.26123775459445,4
145,0.336039335962214,0.171727823536271,0.202641593773198,0.289591246728316,4
150,0.0974797356365192,0.226730627853924,0.564312959169058,0.111476677340498,2
152,0.0809386835410366,0.259016656024918,0.413747021495611,0.246297638938434,1
