"No","Ch1","Ch2","Ch3","Ch4"
20,0.4347924888134,0.250100493431091,0.148517474532127,0.166589483618736
26,0.169557675719261,0.212888315320015,0.333176225423813,0.284377783536911
33,0.214308470487595,0.0584913529455662,0.0930627882480621,0.634137332439423
39,0.146938905119896,0.196839019656181,0.447465270757675,0.208756819367409
42,0.55720716714859,0.0623328648507595,0.19305656850338,0.187403380870819
45,0.0997116938233376,0.14882555603981,0.422472417354584,0.328990370035172
47,0.340124696493149,0.231800004839897,0.174265176057816,0.2538101375103
56,0.162572056055069,0.313623875379562,0.0474774017930031,0.476326674222946
59,0.299521237611771,0.447169542312622,0.125568673014641,0.127740532159805
60,0.0773354098200798,0.247263684868813,0.449110984802246,0.226289972662926
65,0.139919325709343,0.0789511129260063,0.595335960388184,0.185793593525887
67,0.612175941467285,0.0976234599947929,0.137160405516624,0.153040155768394
71,0.110478721559048,0.629601061344147,0.124134667217731,0.135785579681396
73,0.0810803920030594,0.276402652263641,0.283959031105042,0.358557909727097
74,0.193684503436089,0.437909066677094,0.0553084090352058,0.313097983598709
75,0.0799299255013466,0.206304848194122,0.517379224300385,0.196386009454727
78,0.200761139392853,0.11082161962986,0.521297752857208,0.167119488120079
84,0.0506245754659176,0.775170803070068,0.0979407876729965,0.0762637779116631
86,0.270108699798584,0.0832125768065453,0.0804012790322304,0.56627744436264
95,0.417214006185532,0.0753349885344505,0.0720935463905334,0.435357421636581
100,0.0545563586056232,0.26980072259903,0.582030415534973,0.0936125516891479
102,0.157955259084702,0.142608806490898,0.483915656805038,0.215520337224007
110,0.105550684034824,0.056214764714241,0.765896022319794,0.0723384842276573
111,0.366301238536835,0.22244031727314,0.0859999060630798,0.325258493423462
116,0.190668314695358,0.338965386152267,0.059210903942585,0.411155372858047
117,0.349272549152374,0.0737280696630478,0.216169729828835,0.360829681158066
119,0.691953182220459,0.126268565654755,0.0784433260560036,0.10333488881588
124,0.110974527895451,0.202666103839874,0.581667542457581,0.104691855609417
132,0.0563677288591862,0.235346987843513,0.0397072285413742,0.668578028678894
140,0.131884530186653,0.11765306442976,0.61228621006012,0.138176143169403
145,0.227416276931763,0.218298211693764,0.20410892367363,0.350176572799683
150,0.31041145324707,0.176740661263466,0.41683828830719,0.0960096344351768
